,PostCode,Type of District
0,1010,History Center
1,1015,History Center
2,1020,Center
3,1030,Center
4,1040,Center
5,1050,Center
6,1060,Center
7,1070,Center
8,1080,Center
9,1090,Other
10,1100,Other
11,1110,Other
12,1120,Other
13,1130,Other
14,1140,Other
15,1150,Other
16,1160,Other
17,1170,Other
18,1180,Other
19,1190,Other
20,1200,Other
21,1210,Other
22,1220,Other
23,1230,Other
24,75001,History Center
25,75002,Center
26,75003,Center
27,75004,Center
28,75005,Center
29,75006,Center
30,75007,Center
31,75008,Center
32,75009,Center
33,75010,Other
34,75011,Center
35,75012,Other
36,75013,Other
37,75014,Other
38,75015,Other
39,75016,Other
40,75017,Other
41,75018,Other
42,75019,Other
43,75020,Other
44,75116,Other
45,92120,Suburb
46,92170,Suburb
47,20121,History Center
48,20122,History Center
49,20123,History Center
50,20124,Center
51,20125,Other
52,20126,Other
53,20127,Other
54,20128,Other
55,20129,Center
56,20131,Other
57,20132,Other
58,20133,Other
59,20135,Center
60,20136,Other
61,20138,Other
62,20139,Other
63,20141,Other
64,20142,Other
65,20143,Center
66,20144,Center
67,20145,Center
68,20146,Other
69,20148,Other
70,20149,Center
71,20152,Other
72,20153,Other
73,20154,Center
74,20155,Other
75,20156,Other
76,20157,Other
77,20158,Other
78,20159,Other
79,20161,Other
80,20162,Other
81,1011,History Center
82,1012,History Center
83,1013,Center
84,1014,Center
85,1015,Center
86,1016,Center
87,1017,Center
88,1018,Center
89,1019,Other
90,1031,Other
91,1033,Other
92,1043,Other
93,1052,Center
94,1053,Center
95,1054,Other
96,1055,Other
97,1057,Other
98,1058,Other
99,1062,Other
100,1064,Other
101,1066,Other
102,1067,Other
103,1071,Other
104,1072,Other
105,1075,Other
106,1077,Other
107,1082,Other
108,1083,Other
109,1087,Other
110,1091,Other
111,1092,Other
112,1093,Other
113,1096,Other
114,1097,Other
115,1101,Other
116,1105,Suburb
117,1108,Suburb
118,08001,History Center
119,08002,History Center
120,08003,History Center
121,08004,Center
122,08005,Other
123,08006,Center
124,08007,Center
125,08008,Center
126,08009,Center
127,08010,Center
128,08011,Center
129,08012,Center
130,08013,Other
131,08014,Other
132,08015,Center
133,08017,Other
134,08018,Other
135,08019,Other
136,08021,Center
137,08022,Other
138,08023,Other
139,08025,Center
140,08026,Other
141,08028,Other
142,08029,Other
143,08034,Other
144,08035,Other
145,08036,Center
146,08037,Center
147,08038,Center
148,08039,Center
149,08040,Other
150,08950,Suburb
151,E1,Center
152,E14,Other
153,E15,Other
154,E16,Other
155,E2,Center
156,E20,Other
157,E8,Center
158,EC1,History Center
159,EC2,History Center
160,EC3,History Center
161,EC4,History Center
162,HA9,Center
163,IG8,Suburb
164,N1,Center
165,N4,Other
166,NW1,Center
167,NW2,Other
168,NW3,Other
169,NW4,Other
170,NW6,Other
171,NW8,Center
172,SE1,Center
173,SE10,Center
174,SE11,Center
175,SE16,Center
176,SW1,Center
177,SW10,Center
178,SW11,Other
179,SW14,Other
180,SW15,Other
181,SW19,Other
182,SW3,Center
183,SW5,Other
184,SW6,Other
185,SW7,Other
186,SW8,Center
187,W1,Center
188,W10,Other
189,W11,Other
190,W12,Other
191,W13,Other
192,W14,Other
193,W2,Other
194,W3,Other
195,W4,Other
196,W5,Other
197,W6,Other
198,W8,Other
199,W9,Other
200,WC1,Center
201,WC2,Center
